seq,keyword_pt,keyword_en,category,section,slug_pt,slug_en,intent,priority,link_to,link_from,status,published_date,notes
17,flores e estações no mahjong,flowers and seasons in mahjong,Simbolismo,Culture,flores-estacoes-mahjong,flowers-seasons-mahjong,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
18,mahjong e a sorte na cultura chinesa,mahjong and luck in chinese culture,Simbolismo,Culture,mahjong-e-a-sorte,mahjong-and-luck,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
19,como jogar mahjong relaxante,how to play relaxing mahjong,Modos,HowTo,como-jogar-mahjong-relaxante,how-to-play-relaxing-mahjong,Informational,Média,/como-jogar-mahjong/|/mahjong-relaxante/,/como-jogar-mahjong/|/mahjong-relaxante/,Pendente,,Média
20,como jogar memória mahjong,how to play mahjong memory,Modos,HowTo,como-jogar-memoria-mahjong,how-to-play-mahjong-memory,Informational,Média,/como-jogar-mahjong/|/memoria-mahjong/,/como-jogar-mahjong/|/memoria-mahjong/,Pendente,,Média
21,mahjong e superstição chinesa,mahjong and chinese superstition,Simbolismo,Culture,mahjong-supersticao,mahjong-superstition,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
22,como o mahjong se espalhou pelo mundo,how mahjong spread worldwide,História,Culture,mahjong-pelo-mundo,mahjong-around-the-world,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
23,como jogar mahjong torre,how to play mahjong tower,Modos,HowTo,como-jogar-mahjong-torre,how-to-play-mahjong-tower,Informational,Baixa,/como-jogar-mahjong/|/mahjong-torre/,/como-jogar-mahjong/|/mahjong-torre/,Pendente,,Baixa
24,como jogar mahjong blitz,how to play mahjong blitz,Modos,HowTo,como-jogar-mahjong-blitz,how-to-play-mahjong-blitz,Informational,Baixa,/como-jogar-mahjong/|/mahjong-blitz/,/como-jogar-mahjong/|/mahjong-blitz/,Pendente,,Baixa
25,mahjong no japão riichi,mahjong in japan riichi,Variações,Culture,mahjong-no-japao-riichi,mahjong-japan-riichi,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
26,mahjong nos estados unidos,mahjong in the united states,Variações,Culture,mahjong-nos-eua,mahjong-united-states,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
27,como jogar mahjong deslize,how to play mahjong slide,Modos,HowTo,como-jogar-mahjong-deslize,how-to-play-mahjong-slide,Informational,Baixa,/como-jogar-mahjong/|/mahjong-deslize/,/como-jogar-mahjong/|/mahjong-deslize/,Pendente,,Baixa
28,diferença entre os modos de mahjong,difference between mahjong modes,Modos,HowTo,diferenca-entre-os-modos-mahjong,difference-between-mahjong-modes,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Alta
29,mahjong na europa,mahjong in europe,Variações,Culture,mahjong-na-europa,mahjong-europe,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
30,mahjong no brasil,mahjong in brazil,Variações,Culture,mahjong-no-brasil,mahjong-brazil,Informational,Alta,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Alta
31,quais são as peças do mahjong,what are the mahjong tiles,Peças,HowTo,quais-sao-pecas-do-mahjong,mahjong-tiles-guide,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Alta
32,como ler as peças de mahjong,how to read mahjong tiles,Peças,HowTo,como-ler-pecas-mahjong,how-to-read-mahjong-tiles,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
33,mahjong e a diáspora chinesa,mahjong and the chinese diaspora,Variações,Culture,mahjong-diaspora-chinesa,mahjong-chinese-diaspora,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
34,mahjong nas artes e cinema,mahjong in art and cinema,Cultura pop,Culture,mahjong-artes-cinema,mahjong-art-cinema,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
35,estrutura do baralho de mahjong,mahjong tile set structure,Peças,HowTo,estrutura-baralho-mahjong,mahjong-tile-set,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
36,quantas peças tem o mahjong,how many tiles in mahjong,Peças,HowTo,quantas-pecas-tem-mahjong,how-many-mahjong-tiles,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
37,mahjong em filmes famosos,mahjong in famous movies,Cultura pop,Culture,mahjong-filmes-famosos,mahjong-movies,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
38,mahjong e a mulher na china,mahjong and women in china,Sociedade,Culture,mahjong-mulher-china,mahjong-women-china,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
39,como montar o mahjong,how to set up mahjong,Regras,HowTo,como-montar-o-mahjong,how-to-set-up-mahjong,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
40,como embaralhar as peças de mahjong,how to shuffle mahjong tiles,Regras,HowTo,como-embaralhar-pecas-mahjong,how-to-shuffle-mahjong,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
41,mahjong tradicional vs moderno,traditional vs modern mahjong,Variações,Culture,mahjong-tradicional-vs-moderno,traditional-vs-modern-mahjong,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
42,mitos e lendas sobre o mahjong,myths and legends about mahjong,Folclore,Culture,mitos-lendas-mahjong,mahjong-myths-legends,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
43,como fazer um par no mahjong,how to make a pair in mahjong,Regras,HowTo,como-fazer-par-mahjong,how-to-make-pair-mahjong,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
44,como fazer uma sequência no mahjong,how to make a sequence in mahjong,Regras,HowTo,como-fazer-sequencia-mahjong,how-to-make-sequence-mahjong,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
45,mahjong e o feng shui,mahjong and feng shui,Simbolismo,Culture,mahjong-feng-shui,mahjong-feng-shui,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
46,mahjong e o zodíaco chinês,mahjong and the chinese zodiac,Simbolismo,Culture,mahjong-zodiaco-chines,mahjong-chinese-zodiac,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
47,como fazer uma trinca no mahjong,how to make a pung in mahjong,Regras,HowTo,como-fazer-trinca-mahjong,how-to-make-pung-mahjong,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
48,como fazer um quadrado no mahjong,how to make a kong in mahjong,Regras,HowTo,como-fazer-quadrado-mahjong,how-to-make-kong-mahjong,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
49,mahjong e a poesia chinesa,mahjong and chinese poetry,Artes,Culture,mahjong-poesia-chinesa,mahjong-chinese-poetry,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
50,mahjong e a caligrafia,mahjong and calligraphy,Artes,Culture,mahjong-caligrafia,mahjong-calligraphy,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
51,o que é um mahjong vitória,what is a mahjong win,Regras,HowTo,o-que-e-mahjong-vitoria,what-is-mahjong-win,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
52,como ganhar no mahjong solitário,how to win at mahjong solitaire,Estratégia,HowTo,como-ganhar-mahjong-solitario,how-to-win-mahjong-solitaire,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Alta
53,mahjong nas festas familiares chinesas,mahjong in chinese family celebrations,Festas,Culture,mahjong-festas-familiares,mahjong-family-celebrations,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
54,mahjong e a música tradicional chinesa,mahjong and traditional chinese music,Artes,Culture,mahjong-musica-chinesa,mahjong-chinese-music,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
55,dicas para ganhar no mahjong,tips to win at mahjong,Estratégia,HowTo,dicas-para-ganhar-mahjong,tips-to-win-mahjong,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Alta
56,estratégias para mahjong solitário,strategies for mahjong solitaire,Estratégia,HowTo,estrategias-mahjong-solitario,strategies-mahjong-solitaire,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Alta
57,mahjong e o xadrez chinês xiangqi,mahjong and xiangqi,Comparações,Culture,mahjong-xiangqi,mahjong-xiangqi,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
58,mahjong e o go,mahjong and go,Comparações,Culture,mahjong-e-o-go,mahjong-and-go,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
59,estratégias para mahjong connect,strategies for mahjong connect,Estratégia,HowTo,estrategias-mahjong-connect,strategies-mahjong-connect,Informational,Média,/como-jogar-mahjong/|/mahjong-connect/,/como-jogar-mahjong/|/mahjong-connect/,Pendente,,Média
60,como fazer combos no mahjong cadeia,how to make combos in mahjong chain,Estratégia,HowTo,como-fazer-combos-mahjong-cadeia,how-to-combo-mahjong-chain,Informational,Média,/como-jogar-mahjong/|/mahjong-cadeia/,/como-jogar-mahjong/|/mahjong-cadeia/,Pendente,,Média
61,mahjong nas olimpíadas de jogos de mesa,mahjong in the mind sports olympiad,Competição,Culture,mahjong-olimpiadas,mahjong-mind-sports,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
62,mahjong e a inteligência artificial,mahjong and artificial intelligence,Tecnologia,Culture,mahjong-inteligencia-artificial,mahjong-artificial-intelligence,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
63,qual a melhor estratégia para mahjong cronometrado,best strategy for timed mahjong,Estratégia,HowTo,melhor-estrategia-mahjong-cronometrado,best-strategy-timed-mahjong,Informational,Média,/como-jogar-mahjong/|/mahjong-cronometrado/,/como-jogar-mahjong/|/mahjong-cronometrado/,Pendente,,Média
64,como resolver mahjong travado,how to solve stuck mahjong,Estratégia,HowTo,como-resolver-mahjong-travado,how-to-solve-stuck-mahjong,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Alta
65,mahjong e a saúde mental,mahjong and mental health,Saúde,Culture,mahjong-saude-mental,mahjong-mental-health,Informational,Alta,/cultura-mahjong/|/jogar-mahjong/|/mahjong-relaxante/,/cultura-mahjong/,Pendente,,Alta
66,mahjong para idosos benefícios,mahjong benefits for the elderly,Saúde,Culture,mahjong-idosos-beneficios,mahjong-elderly-benefits,Informational,Média,/cultura-mahjong/|/jogar-mahjong/|/mahjong-relaxante/,/cultura-mahjong/,Pendente,,Média
67,o que fazer quando não há jogadas no mahjong,what to do when no moves in mahjong,Estratégia,HowTo,sem-jogadas-mahjong,no-moves-mahjong,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Média
68,como usar a dica no mahjong,how to use the hint in mahjong,Recursos,HowTo,como-usar-dica-mahjong,how-to-use-hint-mahjong,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Baixa
69,mahjong e a memória,mahjong and memory,Saúde,Culture,mahjong-e-a-memoria,mahjong-and-memory,Informational,Média,/cultura-mahjong/|/jogar-mahjong/|/memoria-mahjong/,/cultura-mahjong/,Pendente,,Média
70,mahjong e a terapia ocupacional,mahjong and occupational therapy,Saúde,Culture,mahjong-terapia-ocupacional,mahjong-occupational-therapy,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/|/mahjong-relaxante/,/cultura-mahjong/,Pendente,,Baixa
71,como usar o embaralhar no mahjong,how to use shuffle in mahjong,Recursos,HowTo,como-usar-embaralhar-mahjong,how-to-use-shuffle-mahjong,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Baixa
72,mahjong solitário dicas e truques,mahjong solitaire tips and tricks,Estratégia,HowTo,mahjong-solitario-dicas-truques,mahjong-solitaire-tips-tricks,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Média
73,mahjong e a gastronomia chinesa,mahjong and chinese cuisine,Artes,Culture,mahjong-gastronomia-chinesa,mahjong-chinese-cuisine,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
74,mahjong na literatura,mahjong in literature,Cultura pop,Culture,mahjong-literatura,mahjong-literature,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
75,mahjong connect dicas e truques,mahjong connect tips and tricks,Estratégia,HowTo,mahjong-connect-dicas-truques,mahjong-connect-tips-tricks,Informational,Média,/como-jogar-mahjong/|/mahjong-connect/,/como-jogar-mahjong/|/mahjong-connect/,Pendente,,Média
76,erros comuns no mahjong iniciante,common beginner mahjong mistakes,Estratégia,HowTo,erros-comuns-mahjong-iniciante,common-mahjong-mistakes,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
77,variantes regionais do mahjong,regional mahjong variants,Variações,Culture,variantes-regionais-mahjong,regional-mahjong-variants,Informational,Alta,/cultura-mahjong/|/jogar-mahjong/|/mahjong-classico/,/cultura-mahjong/,Pendente,,Alta
78,mahjong cantonês hong kong,cantonese hong kong mahjong,Variações,Culture,mahjong-cantones-hong-kong,cantonese-mahjong,Informational,Média,/cultura-mahjong/|/jogar-mahjong/|/mahjong-classico/,/cultura-mahjong/,Pendente,,Média
79,mahjong para celular como jogar,mahjong on mobile how to play,Plataforma,HowTo,mahjong-celular-como-jogar,mahjong-mobile-how-to,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
80,mahjong online grátis sem download,free online mahjong no download,Plataforma,HowTo,mahjong-online-gratis-sem-download,free-online-mahjong,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Alta
81,mahjong americano regras,american mahjong rules,Variações,Culture,mahjong-americano-regras,american-mahjong-rules,Informational,Média,/cultura-mahjong/|/jogar-mahjong/|/mahjong-classico/,/cultura-mahjong/,Pendente,,Média
82,mahjong de xangai regras,shanghai mahjong rules,Variações,Culture,mahjong-xangai-regras,shanghai-mahjong,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/|/mahjong-classico/,/cultura-mahjong/,Pendente,,Baixa
83,mahjong solitário vs clássico diferenças,mahjong solitaire vs classic differences,Comparações,HowTo,mahjong-solitario-vs-classico,solitaire-vs-classic-mahjong,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/|/mahjong-classico/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Média
84,como contar pontos no mahjong,how to count points in mahjong,Pontuação,HowTo,como-contar-pontos-mahjong,how-to-count-mahjong-points,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
85,mahjong sichuan regras,sichuan mahjong rules,Variações,Culture,mahjong-sichuan-regras,sichuan-mahjong,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/|/mahjong-classico/,/cultura-mahjong/,Pendente,,Baixa
86,mahjong judaico americano,american jewish mahjong,Variações,Culture,mahjong-judaico-americano,jewish-american-mahjong,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/|/mahjong-classico/,/cultura-mahjong/,Pendente,,Baixa
87,sistema de pontuação do mahjong,mahjong scoring system,Pontuação,HowTo,sistema-pontuacao-mahjong,mahjong-scoring-system,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
88,o que são flores e estações no jogo,what are flowers and seasons in the game,Peças,HowTo,flores-estacoes-no-jogo,flowers-seasons-in-game,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
89,mahjong e a revolução cultural,mahjong and the cultural revolution,História,Culture,mahjong-revolucao-cultural,mahjong-cultural-revolution,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
90,mahjong como jogo de salão vitoriano,mahjong as a victorian parlor game,História,Culture,mahjong-salao-vitoriano,mahjong-victorian-parlor,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
91,como usar flores e estações no mahjong,how to use flowers and seasons in mahjong,Peças,HowTo,usar-flores-estacoes-mahjong,use-flowers-seasons-mahjong,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
92,mahjong para duas pessoas,mahjong for two players,Regras,HowTo,mahjong-duas-pessoas,mahjong-two-players,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
93,mahjong e o nacionalismo chinês,mahjong and chinese nationalism,Sociedade,Culture,mahjong-nacionalismo-chines,mahjong-chinese-nationalism,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
94,colecionar peças de mahjong,collecting mahjong tiles,Colecionismo,Culture,colecionar-pecas-mahjong,collecting-mahjong-tiles,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
95,mahjong para quatro pessoas regras,mahjong for four players rules,Regras,HowTo,mahjong-quatro-pessoas,mahjong-four-players,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
96,mahjong para crianças como ensinar,mahjong for kids how to teach,Ensino,HowTo,mahjong-criancas-como-ensinar,mahjong-for-kids,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
97,mahjong de marfim e bambu antigo,antique ivory and bamboo mahjong,Colecionismo,Culture,mahjong-marfim-bambu-antigo,antique-mahjong-ivory-bamboo,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
98,mahjong nas redes sociais,mahjong on social media,Tecnologia,Culture,mahjong-redes-sociais,mahjong-social-media,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
99,como melhorar no mahjong rápido,how to improve at mahjong fast,Estratégia,HowTo,como-melhorar-mahjong-rapido,improve-at-mahjong-fast,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
100,treino de mahjong para iniciantes,mahjong training for beginners,Estratégia,HowTo,treino-mahjong-iniciantes,mahjong-training-beginners,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
101,diferença entre mahjong chinês e japonês,difference between chinese and japanese mahjong,Variações,Culture,diferenca-mahjong-chines-japones,chinese-vs-japanese-mahjong,Informational,Média,/cultura-mahjong/|/jogar-mahjong/|/mahjong-classico/,/cultura-mahjong/,Pendente,,Média
102,mahjong e o confucionismo,mahjong and confucianism,Filosofia,Culture,mahjong-confucionismo,mahjong-confucianism,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
103,mahjong e paciência dicas,mahjong and patience tips,Estratégia,HowTo,mahjong-paciencia-dicas,mahjong-patience-tips,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
104,como não perder no mahjong,how not to lose at mahjong,Estratégia,HowTo,como-nao-perder-mahjong,how-not-to-lose-mahjong,Informational,Média,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Média
105,mahjong e o taoísmo,mahjong and taoism,Filosofia,Culture,mahjong-taoismo,mahjong-taoism,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
106,mahjong templos e clubes na china,mahjong temples and clubs in china,Sociedade,Culture,mahjong-templos-clubes,mahjong-clubs-china,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
107,mahjong competitivo estratégia,competitive mahjong strategy,Estratégia,HowTo,mahjong-competitivo-estrategia,competitive-mahjong-strategy,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Baixa
108,mahjong solitário melhor pontuação,mahjong solitaire best score,Pontuação,HowTo,mahjong-solitario-melhor-pontuacao,mahjong-solitaire-best-score,Informational,Baixa,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Baixa
